suburbName,value
BARTON,438827343
BARTON,438827343
CANBERRA,438827343
CAPITAL HILL,438827343
DEAKIN,438827343
DUNTROON,438827343
FAIRBAIRN RAAF,438827343
HARMAN,438827343
HMAS HARMAN,438827343
PARKES,438827343
PARLIAMENT HOUSE,438827343
RUSSELL,438827343
RUSSELL HILL,438827343
YARRALUMLA,438827343
ACTON,199681742
BLACK MOUNTAIN,199681742
CANBERRA,199681742
CITY,199681742
AINSLIE,1486780146
DICKSON,1486780146
DOWNER,1486780146
HACKETT,1486780146
LYNEHAM,1486780146
O'CONNOR,1486780146
WATSON,1486780146
FORREST,553811537
GRIFFITH,553811537
MANUKA,553811537
RED HILL,553811537
CAUSEWAY,704469007
KINGSTON,704469007
NARRABUNDAH,704469007
CURTIN,577681247
GARRAN,577681247
HUGHES,577681247
CHIFLEY,553212528
LYONS,553212528
O'MALLEY,553212528
PHILLIP,553212528
SWINGER HILL,553212528
WODEN,553212528
FARRER,620675180
ISAACS,620675180
MAWSON,620675180
PEARCE,620675180
TORRENS,620675180
CANBERRA INTERNATIONAL AIRPORT,26362324
FYSHWICK,26362324
PIALLIGO,26362324
SYMONSTON,26362324
CANBERRA MC,3948416
BRINDABELLA,1567769201
CHAPMAN,1567769201
DUFFY,1567769201
FISHER,1567769201
HOLDER,1567769201
MOUNT STROMLO,1567769201
PIERCES CREEK,1567769201
RIVETT,1567769201
STIRLING,1567769201
URIARRA,1567769201
URIARRA FOREST,1567769201
WARAMANGA,1567769201
WESTON,1567769201
WESTON CREEK,1567769201
BRADDON,914470364
CAMPBELL,914470364
REID,914470364
TURNER,914470364
ARANDA,805429313
COOK,805429313
HAWKER,805429313
JAMISON CENTRE,805429313
MACQUARIE,805429313
PAGE,805429313
SCULLIN,805429313
WEETANGERA,805429313
CHARNWOOD,1775663245
DUNLOP,1775663245
FOREY,1775663245
FLYNN,1775663245
FRASER,1775663245
HIGGINS,1775663245
HOLT,1775663245
KIPPAX,1775663245
KIPPAX CENTRE,1775663245
LATHAM,1775663245
MACGREGOR,1775663245
MELBA,1775663245
SPENCE,1775663245
BELCONNEN,8071068
BELCONNEN,1444963580
BELCONNEN DC,1444963580
BRUCE,1444963580
EVATT,1444963580
GIRALANG,1444963580
KALEEN,1444963580
LAWSON,1444963580
MCKELLAR,1444963580
GREENWAY,173260603
TUGGERANONG,173260603
KAMBAH,4237624
ERINDALE CENTRE,570674062
OXLEY,366069598
WANNIASSA,366069598
FADDEN,524069217
GOWRIE,524069217
MACARTHUR,524069217
MONASH,524069217
BONYTHON,1129774063
CALWELL,1129774063
CHISHOLM,1129774063
GILMORE,1129774063
ISABELLA PLAINS,1129774063
RICHARDSON,1129774063
THEORDORE,1129774063
BANKS,752558468
CONDER,752558468
GORDON,752558468
CRACE,224179101
MITCHELL,224179101
FRANKLIN,337574402
GINNINDERRA VILLAGE,1635608908
NGUNNAWAL,1635608908
NICHOLLS,1635608908
PALMERSTON,1635608908
AMAROO,1491998662
BONNER,1491998662
FORDE,1491998662
HARRISON,11474451

GUNGAHLIN,3142123133
JACKA,2920319333
TAYLOR,2824479233
CASEY,3765634133
HALL,2998357233
THROSBY,389872433
FLOREY,2910412133
CANBERRA CENTRAL,2294138233
MOLONGLO VALLEY,1479320333
MOLONGLO,3435347433
DENMAN PROSPECT,2923917333
COOMBS,3890234233
WODEN VALLEY,3517421433

MAJURA,2732413331
CANBERRA AIRPORT,2942541233
KOWEN,9977212333
JERRABOMBERRA,8247244331
BEARD,8232342334
HUME,8319131332
THEODORE,8152354334

MACNAMARA,2412402332
COREE,7314133341
STROMLO,5373621335
PADDYS RIVER,1245234332
TENNENT,1984293333
COTTER RIVER,2398223351
RENDEZVOUS CREEK,2752411332
BOOTH,1374301335
MOUNT CLEAR,2924421334
